	address	akadaly	allapot	berleti_jog_atadas	busz	butorozott	city	city_latitude	city_longitude	contract	district	dohanyzas	ejszakai-busz	energia	epites_eve	futes	futes_elso	futes_masodik	id	kilatas	kisallat	koltozheto	komfort	kondi	metro	min_berl_honapban	parkolas	parkolas_konstrukcio	parkolohely_ar	parkolohely_berles	pince	price_ft	real_estate_type	rezsi_ft	room	room_full	room_half	size_m2	stemmed_text	szintek	telek_m2	tetoter	text	troli	type	villamos	wc
0	2. kerület			nem			Budapest	47.4983815	19.0404707	kiado	2. kerület								https://ingatlan.com/ii-ker/kiado+haz/csaladi-haz/budapest+2+kerulet/25992146							nincs						199000	haz	35000	1 + 2 fél	1	2	48	hosszútáv kiadó kertes mobilház		300.0				családi ház		
1	Németh László köz		új építésű	nem		nem	Dunakeszi	47.6316697	19.1294055	kiado						gáz (cirko)	gáz (cirko)		https://ingatlan.com/dunakeszi/kiado+haz/csaladi-haz/pest+megye+dunakeszi+nemeth+laszlo+koz/23997712			azonnal				nincs	önálló garázs	benne van az árban				310000	haz	0	5 + 4 fél	5	4	240	dunakeszi egyik csendes utca kiadó egy 240 nm es 5 4 félszobás belső kert egybekötött családi ház szintenkénti szabályozható fűtés és padlófűtés garázs elektromos jégleolvasztó a garázs feljárón a ház található szauna kandalló mosókonyha 2 fürdőszoba és 2 wc a családi ház 3 havi kaució bútorozatlanul kiadó	2	50.0				családi ház		külön helyiségben
2	2. kerület, Jegesmedve utca		új építésű	nem		részben bútorozott	Budapest	47.4983815	19.0404707	kiado	2. kerület	nem megengedett		AA	2012	gáz (cirko)	gáz (cirko)		https://ingatlan.com/ii-ker/kiado+haz/ikerhaz/budapest+2+kerulet+jegesmedve+utca/24526398	panorámás	hozható	azonnal	duplakomfortos			12	teremgarázs hely	benne van az árban			van	469800	haz	0	7	7	0	210	kiadó ii jegesmedve utca nagyon közel a francia iskola nem messze az amerikai iskola egy ikerház egyik fele 210 m2 7 szoba bevásárlóközpont gyalog is csak 10 perc buszmegálló 5 10 perc az utca vég tájvédelmi körzet hegy kirándulóhely túraút közel 3 perc kis tó játszótér biciklipálya fsz nappali konyha étkező 1 szoba 1 fürdőszoba előszoba emelet 3 db szoba 1 gardróbszoba 1 fürdőszoba alsó szuterén rész közlekedő 1 nagy helység lehet 2 nappali buliszoba konditerem vendéglakrész jelenleg 1 fürdőszoba 1 tároló garázs udvar 2 autó nagyon kényelmesen tud parkol kert nagyon intim utca lehetetlen belát nappali terasz egyenesen a kert riasztó videó kaputelefon 2018 febrár 1 től költözhető	2	400.0				ikerház		külön és egyben is
3	3. kerület, Völgy utca	nem	felújított	nem	134	nem	Budapest	47.4983815	19.0404707	kiado	3. kerület	megengedett	923		2001-2010 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/iii-ker/kiado+haz/ikerhaz/budapest+3+kerulet+volgy+utca/25913996	kertre néző	hozható	azonnal	duplakomfortos	van		12	udvari beálló	benne van az árban			van	400000	haz	0	4	4	0	160	csillaghegy csendes utca tulajdonos kiadó teljesen felújított ikerház fele mind tömegközlekedés mind egyénileg könnyen megközelíthető több színvonalas bevásárlási lehetőség a közelben bölcsőde óvoda iskola pár perces séta található a felújítás 2018 január fejeződött be hőszigetelés ablakcsere fűtés víz világítás a fűtés és a melegvizet gazdaságos kondenzációs kazán szolgáltat okos otthon megoldás szintenkénti computeres hőmérséklet szabályozás a nyári meleg az egész ház légkondicionáló berendezés tesz kellemes hőmérsékletű hűtő fűtő a külön bejáratú szuterén szint egy nagy ablak kert néző világos szoba mely üzleti tevékenység iroda is alkalmas melegpadlós tárolóhelység és előtér van az előtér belső lépcső vezet a földszint a főbejárat a földszint előszoba nyílik ahonnan fürdőszoba étkezős konyha és nagy napsütötte nappali érhető el a konyha új igényes méret készült bútor van berendez az emelet fa borítású rozsdamentes acél korlátú lépcső vezet itt 3 hálószoba mely az egyik közvetlen terasz kapcsolatos fürdőszoba külön wc előszoba van az előszoba lehet kijut a másik terasz valamint lépcső a beépített fűtött tetőtér amely tárolás kívül hobbiszobának gyerek játszó is alkalmas a kert elektromos kapu segítség egyszerűen lehet beáll autó könnyen gondozható pihenőkert szolgál a kikapcsolódás a lakás bútorozatlan köszönhetően a gazdaságos fűtés alacsony rezsijű kérem hogy telefon érdeklődik érdeklőd e mailre nem biztos hogy válaszol	3	200.0	beépített			ikerház		külön és egyben is
4	Bajcsy-Zsilinszky út		újszerű	nem		megegyezés szerint	Érd	47.3772949	18.9214718	kiado					1981-2000 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/erd/kiado+haz/csaladi-haz/pest+megye+erd+bajcsy-zsilinszky+ut/25904756	kertre néző	hozható	2018 április	duplakomfortos	van		12	önálló garázs	benne van az árban			nincs	300000	haz	20000	2 + 2 fél	2	2	220	új gazda keresem kedves leendő új gazda autópálya pár perc nagy telek nagyon jó állapot várlak viacolor ösvény juthat el én kis öcs és dupla garázs nap lépt át a második x küszöb jelenlegi társ 15 év él együtt aki fontos tud hogy ügyetlen de szerencsére gyáva is ezért nem vállalkozott saját kezű barkácsolás minden átalakítás és felújítás szakember hívott minőségi anyag dolgoztatott a műanyag 3 kamrás redőnyös szúnyoghálós nyílászáró valamint a 10 centis szigetelés alacsony fenntartási költség és nyári hűvös hálál meg nem is ért a két inverteres klíma felszerelés földszintemen nappali étkező konyha két háló nagy zuhanyzós masszázskádas wc s fürdőszoba és egy kamra mosókonyha található ja igen és az igen jól sikerült a 30nm es terasz is itt van a beépített tetőtér két háló és a mindkettő megközelíthető dupla zuhanyzós fürdőn kívül egy női szív megdobogtató nagy gardrób található bár tud ez sosem lehet elég nagy a 35nm önálló élettér biztosító vendégházunk igazi műremek zuhanyzó wc és olyan konyha ami áthozhatnának én saját fűtési rendszer tv telefon kiállás teszi teljes az intimitás lehetőség van teljes bútorzat de akár lecsupaszított való bútorok nélkül kibérel sajna csak megbeszélt randevú tud megjelenik a szürke hétköznap sövény és zárt kerítés rejt el szem elől ezért kér amennyiben valóban komoly szándék minimum 1 év gondolkozik de hosszú táv jobban örül szám kijelzéssel vagy mailben lép kapcsolat mi	2	1350.0	beépített			családi ház		külön és egyben is
5	3. kerület, Attila utca	nem	jó állapotú	nem	34,134	megegyezés szerint	Budapest	47.4983815	19.0404707	kiado	3. kerület	megengedett	923		1981-2000 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/iii-ker/kiado+haz/ikerhaz/budapest+3+kerulet+attila+utca/25791002	kertre néző	hozható	azonnal	duplakomfortos	nincs		12	udvari beálló	benne van az árban			van	300000	haz	0	3 + 1 fél	3	1	160	tulajdonos kiadó csillaghegy ikerház teljesen elkülönített fele kiváló infrastruktúra bevásárlási lehetőség 2 perc több közlekedési eszköz megközelíthető bölcsőde óvoda iskola a közelben nappali étkezős konyha 3 nagy méretű hálószoba 1 hálófülke vagy gardrób a szuterén külön bejáratú szoba mely akár üzleti cél is használható nagy pihenőkert kiülővel sütögető hely gyermekes család rész is ideális mert a gyerek külön szint helyezhető el fedett kocsibeálló a bejutás elektromos kapu segít gáz cirkó fűtés és radiátor ad a meleg és a melegvizet a ház hőszigetelt hosszútáv kiadó érdeklődik érdeklőd csak a megadott telefon lehet e mail re nem válaszol	4	500.0	beépített			ikerház		külön és egyben is
6	Vadvirág utca 4.		új építésű	nem		részben bútorozott	Pomáz	47.6468212	19.0236304	kiado		nem megengedett			2011	gáz (cirko), padlófűtés	gáz (cirko)	padlófűtés	https://ingatlan.com/pomaz/kiado+haz/csaladi-haz/pest+megye+pomaz+vadvirag+utca+4/25768748	panorámás	nem hozható	2018 április	összkomfortos			12	udvari beálló				nincs	290000	haz	0	2 + 2 fél	2	2	130	április kiadó pomázon messelia hegy új építésű családi ház 290 000 ft rezsi felső szint 2 gyerekszoba 1 háló fürdőszoba wc közlekedő terasz alsó szint előszoba gardrób mosdó nappali étkező konyha tároló terasz 3 havi kaució szükséges a ház részben bútorozott konyha beépített gépesített	2	1100.0	beépített			családi ház		külön helyiségben
7	3. kerület, Ráby Mátyás utca			nem	134,143,160,186,243		Budapest	47.4983815	19.0404707	kiado	3. kerület		943,960						https://ingatlan.com/iii-ker/kiado+haz/csaladi-haz/budapest+3+kerulet+raby+matyas+utca/25743692							nincs						200000	haz	0	2	2	0	80	budapest 3 kerület csillaghegy hegy felöl oldal 80 m2 es 2 szobás önálló családi ház hosszú táv kiadó a ház 2 tágas szoba konyha étkező 2 fürdőszoba kamra kazánház gáz cirkó fűtés van a ház teljeskörűen fel lett újít azonnal költözhető az ingatlan csendes nyugodt környezet frekventált hely található kiváló közlekedési és tömegközlekedési lehetőség a telek 375 m2 parkosított több autó beállási lehetőség kisállat nem hozható bérleti díj 200 000 ft hó rezsi 2 havi kaució kérem hogy ingatlanközvetítő ne jelentkezik		375.0				családi ház		
8	Virágos sétány	nem	új építésű	nem		részben bútorozott	Nagykovácsi	47.5762363	18.882064	kiado		nem megengedett							https://ingatlan.com/nagykovacsi-nagyszenasalja/kiado+haz/ikerhaz/pest+megye+nagykovacsi+viragos+setany/23566517	panorámás			duplakomfortos			nincs	udvari beálló					440000	haz	25000	3 + 1 fél	3	1	120	nagykovácsi kiadó erdő hegy között gyönyörű természeti környezet a faluközponthoz tömegközlekedés közel nagykovácsi kedvelt rész csendes hely déli fekvésű 120 nm es alapterületű 2 szintes vadonatúj energiatakarékos rezsi az átlag 50 a 1 nappali 3 hálószobás két fürdőszobás igényesen részben berendezett és felszerelt saját bútorok kiegészíthető kertes riasztó ellátott családi ikerház rész kocsi beállóval kerti tároló hosszú táv kiadó	2	400.0				ikerház		külön és egyben is
9	Hegy utca	nem	jó állapotú	nem		részben bútorozott	Gödöllő	47.6052871	19.3535185	kiado		nem megengedett		EE	1981-2000 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/godollo/kiado+haz/csaladi-haz/pest+megye+godollo+hegy+utca/22455295	panorámás	hozható	azonnal	duplakomfortos	nincs		6	udvari beálló	benne van az árban			van	220000	haz	50000	6 + 2 fél	6	2	250	gödöllő elegáns és nagyon keresett erdő közeli szép környezet lévő blaha hegy utca örök panorámás 250 nm es háromszintes galériás nappali 5 szobás tágas világos tér rendelkező szép állapotú egyedi hangulatú családi ház eladó földszint teraszkapcsolatos konyha étkező nappali egy szoba fürdőszoba kamra wc található tetőtér nappali 3 szoba erkély fürdőszoba helység vannak pinceszint konditerem szauna kis konyha gardrób mosókonyha található nappali található kandalló ill a panorámás délnyugati fekvésű szeparált terasz a gyönyörű 1300 nm es ősfás szépen karbantartott öntözőberendezés ellátott telek 1 állásos garázs található a ház fűtési rendszer 2 5 év ezelőtt lett felújít kondenzációs gázkazán és energiatakarékos bojler került beépítés kedvező rezsi	3	1300.0	beépített			családi ház		külön helyiségben
